en	definition	pl	ja	ko	vi	zh	ta	hu	fr	no	uk	ru	de	es	sv	fi	cs	sr	pt	it	fa	sw	nl	st	hi	da	bg	hr	et	el	ga	lv	lt	mt	ro	sk	sl	sq	eu	bs	ca	gl	is	lb	mk	tr	cy
apple 	 A round fruit with red, green, or yellow skin and a sweet interior.	jabłko	りんご	사과	táo	苹果	ஆப்பிள்	alma	pomme	eple	яблуко	яблоко	Apfel	manzana	äpple	omena	jablko	jabuka	maçã	mela	سیب	tufaha	appel	apole	सेब	æble	ябълка	jabuka	õun	μήλο	úll	ābols	obuolys	tuffieħa	măr	jablko	jabolko	mollë	sagar	jabuka	poma	mazá	epli	Apel	јаболко	elma	afal
animal 	 A living creature that is not a plant, including mammals, birds, and fish.	zwierzę	動物	동물	động vật	动物	விலங்கு	állat	animal	dyr	тварина	животное	Tier	animal	djur	eläin	zvíře	životinja	animal	animale	حیوان	mnyama	dier	phoofolo	जानवर	dyr	животно	životinja	loom	ζώο	ainmhí	dzīvnieks	gyvūnas	annimal	animal	zviera	žival	kafshë	animalia	životinja	animal	animal	dýr	Déier	животно	hayvan	anifail
balloon 	 A flexible bag filled with air or gas, often used for decoration.	balon	風船	풍선	bóng bay	气球	பலூன்	lufi	ballon	ballong	повітряна кулька	воздушный шарик	Ballon	globo	ballong	ilmapallo	balón	balon	balão	palloncino	بادکنک	puto	ballon	balune	गुब्बारा	ballon	балон	balon	õhupall	μπαλόνι	balún	balons	balionas	ballun	balon	balón	balon	balonë	globo	balon	globus	globo	loftbelgur	Ballon	балон	balon	balŵn
book 	 A set of written or printed pages bound together, containing information or a story.	książka	本	책	sách	书	நூல்	könyv	livre	bok	книга	книга	Buch	libro	bok	kirja	kniha	knjiga	livro	libro	کتاب	kitabu	boek	Buka	किताब	bog	книга	knjiga	raamat	βιβλίο	leabhar	grāmata	knyga	ktieb	carte	kniha	knjiga	libër	liburu	knjiga	llibre	libro	bók	Buch	книга	kitap	llyfr
bridge 	 A structure built to span a physical obstacle like a river or road.	most	橋	다리	cầu	桥	பாலம்	híd	pont	bro	міст	мост	Brücke	puente	bro	silta	most	most	ponte	ponte	پل	daraja	brug	borokho	पुल	bro	мост	most	sild	γέφυρα	droichead	tilts	tiltas	pont	pod	most	most	urë	zubi	most	pont	ponte	brú	Bréck	мост	köprü	pont
bed 	 A piece of furniture used for sleeping or resting, typically with a frame and mattress.	łóżko	ベッド	침대	giường	床	படுக்கை	ágy	lit	seng	ліжко	кровать	Bett	cama	säng	sänky	postel	krevet	cama	letto	تخت	kitanda	bed	bethe	बिस्तर	seng	легло	krevet	voodi	κρεβάτι	leaba	gulta	lova	sodda	pat	posteľ	postelja	krevat	ohe	krevet	llit	cama	rúm	Bett	кревет	yatak	gwely
car 	 A four-wheeled vehicle used for transportation on roads.	samochód	車	자동차	ô tô	汽车	மகிழுந்து	autó	voiture	bil	автомобіль	автомобиль	Auto	coche	bil	auto	auto	automobil	carro	automobile	ماشین	gari	auto	koloi	गाड़ी	bil	кола	automobil	auto	αυτοκίνητο	carr	auto	automobilis	karozza	mașină	auto	avto	makinë	auto	automobil	cotxe	coche	bíll	Auto	автомобил	araba	car
coat 	 An outer garment worn to provide warmth or protection against the weather.	płaszcz	コート	코트	áo khoác	外套	மேலங்கி	kabát	manteau	frakk	пальто	пальто	Mantel	abrigo	kappa	takki	kabát	kaput	sobretudo	cappotto	کت	koti	jas	Jase	कोट	frakke	палто	kaput	mantel	παλτό	cóta	mētelis	paltas	paltu	haină	kabát	plašč	pallto	bata	kaput	abric	abrigo	kápa	Mantel	палто	palto	côt
chair 	 A piece of furniture designed for sitting, typically with a backrest.	krzesło	椅子	의자	ghế	椅子	நாற்காலி	szék	chaise	stol	стілець	стул	Stuhl	silla	stol	tuoli	židle	stolica	cadeira	sedia	صندلی	kiti	stoel	setulo	कुर्सी	stol	стол	stolica	tool	καρέκλα	cathaoir	krēsls	kėdė	siġġu	scaun	stolička	stol	karrige	aulki	stolica	cadira	cadeira	stóll	Stull	стол	sandalye	cadair
chocolate 	 A sweet food made from roasted and ground cacao seeds.	czekolada	チョコレート	초콜릿	sô cô la	巧克力	சாக்லேட்	csokoládé	chocolat	sjokolade	шоколад	шоколад	Schokolade	chocolate	choklad	suklaa	čokoláda	čokolada	chocolate	cioccolato	شکلات	chokoleti	chocolade	tšhokolete	चॉकलेट	chokolade	шоколад	čokolada	šokolaad	σοκολάτα	seacláid	šokolāde	šokoladas	ċikkulata	ciocolată	čokoláda	čokolada	çokollatë	txokolate	čokolada	xocolata	chocolate	súkkulaði	Schokolade	чоколадо	çikolata	siocled
